group_class,filename,sel_idx,duration_sec,prob_meta
164889003,c:\UHull\ecg-xai\data\sample\A2978.mat,19,10.0,0.9864915013313293
164889003,c:\UHull\ecg-xai\data\sample\A2643.mat,16,14.0,0.9983409643173218
164889003,c:\UHull\ecg-xai\data\sample\A0003.mat,0,10.0,0.9599757194519043
164889003,c:\UHull\ecg-xai\data\sample\A4502.mat,27,17.97,0.9902105927467346
164889003,c:\UHull\ecg-xai\data\sample\HR03231.mat,82,10.0,0.9230753183364868
164889003,c:\UHull\ecg-xai\data\sample\A2647.mat,17,18.0,0.9849751591682434
164889003,c:\UHull\ecg-xai\data\sample\A5592.mat,41,10.0,0.9926222562789917
164889003,c:\UHull\ecg-xai\data\sample\HR00482.mat,50,10.0,0.955079972743988
164889003,c:\UHull\ecg-xai\data\sample\A3277.mat,21,10.0,0.9996682405471802
164889003,c:\UHull\ecg-xai\data\sample\A2249.mat,11,16.968,0.940748393535614
164889003,c:\UHull\ecg-xai\data\sample\A1950.mat,9,10.0,0.9923451542854309
164889003,c:\UHull\ecg-xai\data\sample\A4350.mat,26,10.0,0.9974184632301331
164889003,c:\UHull\ecg-xai\data\sample\HR01111.mat,58,10.0,0.9804532527923584
164889003,c:\UHull\ecg-xai\data\sample\A5117.mat,33,16.272,0.9951639771461487
164889003,c:\UHull\ecg-xai\data\sample\Q0946.mat,97,10.0,0.9972422122955322
164889003,c:\UHull\ecg-xai\data\sample\A3075.mat,20,10.0,0.9990698099136353
164889003,c:\UHull\ecg-xai\data\sample\A5760.mat,42,12.0,0.9993202090263367
164889003,c:\UHull\ecg-xai\data\sample\HR02153.mat,67,10.0,0.9967746734619141
164889003,c:\UHull\ecg-xai\data\sample\A4075.mat,25,10.0,0.987345278263092
164889003,c:\UHull\ecg-xai\data\sample\A5526.mat,38,10.0,0.9968096613883972
164889003,c:\UHull\ecg-xai\data\sample\Q1179.mat,98,17.0,0.9270363450050354
164889003,c:\UHull\ecg-xai\data\sample\A0686.mat,4,14.854,0.9983439445495605
164889003,c:\UHull\ecg-xai\data\sample\A1409.mat,8,10.0,0.8640239834785461
164889003,c:\UHull\ecg-xai\data\sample\A4950.mat,32,10.0,0.9924938678741455
164889003,c:\UHull\ecg-xai\data\sample\HR03555.mat,91,10.0,0.9383050799369812
164889003,c:\UHull\ecg-xai\data\sample\A0584.mat,3,10.0,0.959669828414917
164889003,c:\UHull\ecg-xai\data\sample\A2515.mat,13,10.0,0.9107131361961365
164889003,c:\UHull\ecg-xai\data\sample\A0799.mat,5,20.0,0.9736373424530029
164889003,c:\UHull\ecg-xai\data\sample\HR00908.mat,54,10.0,0.9993864297866821
164889003,c:\UHull\ecg-xai\data\sample\Q1462.mat,99,12.0,0.9973381161689758
164889003,c:\UHull\ecg-xai\data\sample\A0374.mat,2,17.0,0.9250441789627075
164889003,c:\UHull\ecg-xai\data\sample\A5166.mat,34,11.0,0.9979588985443115
164889003,c:\UHull\ecg-xai\data\sample\A4725.mat,30,10.0,0.998803436756134
164889003,c:\UHull\ecg-xai\data\sample\A2455.mat,12,18.454,0.9917764663696289
164889003,c:\UHull\ecg-xai\data\sample\A2618.mat,15,14.474,0.9884160757064819
164889003,c:\UHull\ecg-xai\data\sample\A5187.mat,35,10.0,0.9984538555145264
164889003,c:\UHull\ecg-xai\data\sample\A2612.mat,14,17.0,0.9809468388557434
164889003,c:\UHull\ecg-xai\data\sample\A4642.mat,29,11.0,0.9997305870056152
164889003,c:\UHull\ecg-xai\data\sample\A5377.mat,36,19.122,0.990655779838562
164889003,c:\UHull\ecg-xai\data\sample\A4568.mat,28,13.852,0.9925755262374878
164889003,c:\UHull\ecg-xai\data\sample\A4933.mat,31,13.0,0.9705237150192261
164889003,c:\UHull\ecg-xai\data\sample\A1027.mat,7,10.0,0.8935073018074036
164889003,c:\UHull\ecg-xai\data\sample\A4062.mat,24,10.0,0.8839410543441772
164889003,c:\UHull\ecg-xai\data\sample\A0026.mat,1,11.0,0.9292133450508118
164889003,c:\UHull\ecg-xai\data\sample\A4037.mat,23,10.0,0.9979246258735657
164889003,c:\UHull\ecg-xai\data\sample\A3371.mat,22,10.0,0.8955280184745789
164889003,c:\UHull\ecg-xai\data\sample\A2929.mat,18,13.0,0.9986922144889832
